ProductID,ProductName,Category,CurrentStock,ReorderLevel,UnitPrice,NewUnitPrice,StockValue,Supplier,LastRestockDate,NextRestockDate,WarehouseLocation,IsReorder,Shortage,OverStocked
25313,Kitchen Sink,Plumbing,2,150,$265.6,$26.6,$53,FixRight Depot,27/12/2024,14/1/2025,Warehouse C,TRUE,148,Other
75095,Floor Tiles,Interior,280,80,$84.2,$8.4,"$2,359",Jumia Supplies,27/12/2024,16/1/2025,Warehouse A,FALSE,,OverStock
78056,Electrical Cable,Electrical,387,40,$203.7,$20.4,"$7,885",MegaBuild Ltd,27/12/2024,3/2/2025,Warehouse A,FALSE,,OverStock
79603,Water Heater,Plumbing,170,20,$476.7,$47.7,"$8,103",FixRight Depot,27/12/2024,9/1/2025,Warehouse B,FALSE,,OverStock
98284,Concrete Block,Building Materials,211,20,$361.5,$36.2,"$7,628",Jumia Supplies,27/12/2024,11/1/2025,Warehouse B,FALSE,,OverStock
51011,Door Frame,Hardware,173,100,$172.8,$17.3,"$2,989",FixRight Depot,27/12/2024,30/1/2025,Warehouse B,FALSE,,Other
95961,Bulb Pack,Electrical,359,50,$269.3,$26.9,"$9,668",MegaBuild Ltd,27/12/2024,5/1/2025,Warehouse A,FALSE,,OverStock
27986,Roofing Sheet,Building Materials,172,40,$166.8,$16.7,"$2,869",Jumia Supplies,27/12/2024,26/1/2025,Warehouse A,FALSE,,OverStock
94454,Wallpaper Roll,Interior,122,100,$299.0,$29.9,"$3,648",FixRight Depot,27/12/2024,11/1/2025,Warehouse A,FALSE,,Other
36649,Paint Bucket,Interior,75,100,$388.1,$38.8,"$2,911",FixRight Depot,26/12/2024,18/1/2025,Warehouse A,TRUE,25,Other
76537,Window Glass,Hardware,20,30,$38.4,$3.8,$77,MegaBuild Ltd,26/12/2024,30/1/2025,Warehouse B,TRUE,10,Other
76617,Door Frame,Hardware,41,150,$346.3,$34.6,"$1,420",MegaBuild Ltd,26/12/2024,26/1/2025,Warehouse A,TRUE,109,Other
13477,Ceiling Board,Interior,410,100,$202.5,$20.2,"$8,302",Konga Wholesale,26/12/2024,2/1/2025,Warehouse C,FALSE,,OverStock
31162,Roofing Sheet,Building Materials,120,80,$71.9,$7.2,$863,MegaBuild Ltd,26/12/2024,17/1/2025,Warehouse A,FALSE,,Other
30661,Concrete Block,Building Materials,162,150,$385.9,$38.6,"$6,252",Konga Wholesale,26/12/2024,30/1/2025,Warehouse A,FALSE,,Other
57025,Ceiling Board,Interior,139,100,$34.0,$3.4,$473,FixRight Depot,26/12/2024,23/1/2025,Warehouse C,FALSE,,Other
94436,Bulb Pack,Electrical,339,150,$197.9,$19.8,"$6,709",Alpha Materials,26/12/2024,15/1/2025,Warehouse B,FALSE,,Other
92205,Floor Tiles,Interior,103,100,$496.3,$49.6,"$5,112",Alpha Materials,25/12/2024,30/12/2024,Warehouse B,FALSE,,Other
35307,Water Heater,Plumbing,5,50,$95.0,$9.5,$47,FixRight Depot,25/12/2024,13/1/2025,Warehouse A,TRUE,45,Other
35479,Window Glass,Hardware,295,50,$142.8,$14.3,"$4,212",Alpha Materials,25/12/2024,9/1/2025,Warehouse B,FALSE,,OverStock
55852,Paint Bucket,Interior,121,80,$110.6,$11.1,"$1,338",FixRight Depot,25/12/2024,30/12/2024,Warehouse C,FALSE,,Other
60298,Bulb Pack,Electrical,45,100,$352.5,$35.3,"$1,586",Alpha Materials,25/12/2024,3/1/2025,Warehouse A,TRUE,55,Other
37785,Cement Bag,Building Materials,28,80,$167.5,$16.8,$469,Konga Wholesale,25/12/2024,30/1/2025,Warehouse C,TRUE,52,Other
20002,Window Glass,Hardware,457,80,$461.3,$46.1,"$21,080",Konga Wholesale,25/12/2024,6/1/2025,Warehouse B,FALSE,,OverStock
41052,Water Heater,Plumbing,195,80,$375.4,$37.5,"$7,320",MegaBuild Ltd,25/12/2024,30/1/2025,Warehouse C,FALSE,,Other
20234,Shower Set,Hardware,449,150,$25.5,$2.6,"$1,147",Jumia Supplies,24/12/2024,25/1/2025,Warehouse B,FALSE,,Other
11129,Cement Bag,Building Materials,129,20,$366.0,$36.6,"$4,722",Konga Wholesale,24/12/2024,25/1/2025,Warehouse B,FALSE,,OverStock
29768,Toilet Seat,Hardware,189,80,$374.9,$37.5,"$7,085",Konga Wholesale,24/12/2024,12/1/2025,Warehouse B,FALSE,,Other
28706,Window Glass,Hardware,333,50,$117.3,$11.7,"$3,904",Alpha Materials,24/12/2024,14/1/2025,Warehouse C,FALSE,,OverStock
64499,Water Heater,Plumbing,22,150,$323.2,$32.3,$711,MegaBuild Ltd,24/12/2024,1/2/2025,Warehouse B,TRUE,128,Other
15888,Shower Set,Hardware,85,40,$293.4,$29.3,"$2,494",FixRight Depot,24/12/2024,30/12/2024,Warehouse C,FALSE,,Other
29810,Concrete Block,Building Materials,429,100,$206.7,$20.7,"$8,869",Konga Wholesale,23/12/2024,7/1/2025,Warehouse B,FALSE,,OverStock
32923,Kitchen Sink,Plumbing,428,40,$323.6,$32.4,"$13,849",FixRight Depot,23/12/2024,29/1/2025,Warehouse C,FALSE,,OverStock
32873,Door Frame,Hardware,461,100,$214.1,$21.4,"$9,871",Jumia Supplies,23/12/2024,22/1/2025,Warehouse A,FALSE,,OverStock
26442,Wallpaper Roll,Interior,121,20,$350.2,$35.0,"$4,238",Alpha Materials,23/12/2024,21/1/2025,Warehouse A,FALSE,,OverStock
47437,Floor Tiles,Interior,234,20,$46.8,$4.7,"$1,094",Jumia Supplies,22/12/2024,16/1/2025,Warehouse C,FALSE,,OverStock
51831,Electrical Cable,Electrical,189,150,$462.7,$46.3,"$8,745",FixRight Depot,22/12/2024,12/1/2025,Warehouse A,FALSE,,Other
42322,Kitchen Sink,Plumbing,405,100,$160.4,$16.0,"$6,495",Alpha Materials,22/12/2024,11/1/2025,Warehouse B,FALSE,,OverStock
59999,Toilet Seat,Hardware,446,100,$232.1,$23.2,"$10,352",MegaBuild Ltd,22/12/2024,29/12/2024,Warehouse C,FALSE,,OverStock
13728,Paint Bucket,Interior,127,100,$414.4,$41.4,"$5,262",Jumia Supplies,22/12/2024,18/1/2025,Warehouse B,FALSE,,Other
67752,Wallpaper Roll,Interior,357,80,$12.2,$1.2,$437,MegaBuild Ltd,22/12/2024,27/1/2025,Warehouse C,FALSE,,OverStock
14225,Ceiling Board,Interior,200,40,$298.3,$29.8,"$5,965",Konga Wholesale,22/12/2024,4/1/2025,Warehouse B,FALSE,,OverStock
76904,Floor Tiles,Interior,200,20,$22.6,$2.3,$451,Konga Wholesale,22/12/2024,19/1/2025,Warehouse A,FALSE,,OverStock
92368,PVC Pipe,Plumbing,208,30,$415.2,$41.5,"$8,637",FixRight Depot,22/12/2024,4/1/2025,Warehouse B,FALSE,,OverStock
24418,Water Heater,Plumbing,367,40,$105.3,$10.5,"$3,865",MegaBuild Ltd,21/12/2024,31/12/2024,Warehouse B,FALSE,,OverStock
24328,Kitchen Sink,Plumbing,215,20,$231.1,$23.1,"$4,969",Konga Wholesale,21/12/2024,5/1/2025,Warehouse C,FALSE,,OverStock
95222,Wallpaper Roll,Interior,303,20,$412.1,$41.2,"$12,487",MegaBuild Ltd,21/12/2024,1/1/2025,Warehouse C,FALSE,,OverStock
56287,Wallpaper Roll,Interior,182,150,$258.3,$25.8,"$4,700",Alpha Materials,20/12/2024,27/12/2024,Warehouse A,FALSE,,Other
71381,Door Frame,Hardware,326,40,$481.3,$48.1,"$15,691",MegaBuild Ltd,20/12/2024,25/1/2025,Warehouse B,FALSE,,OverStock
81186,Shower Set,Hardware,141,30,$471.0,$47.1,"$6,642",MegaBuild Ltd,20/12/2024,26/1/2025,Warehouse A,FALSE,,OverStock
93402,Paint Bucket,Interior,324,30,$471.3,$47.1,"$15,270",Konga Wholesale,20/12/2024,25/1/2025,Warehouse C,FALSE,,OverStock
20862,Electrical Cable,Electrical,423,40,$18.6,$1.9,$787,Jumia Supplies,20/12/2024,7/1/2025,Warehouse B,FALSE,,OverStock
34502,Shower Set,Hardware,467,50,$62.1,$6.2,"$2,900",Konga Wholesale,19/12/2024,13/1/2025,Warehouse A,FALSE,,OverStock
29558,Floor Tiles,Interior,99,80,$56.9,$5.7,$563,MegaBuild Ltd,19/12/2024,22/1/2025,Warehouse A,FALSE,,Other
12589,Paint Bucket,Interior,150,50,$28.1,$2.8,$421,Jumia Supplies,19/12/2024,25/12/2024,Warehouse C,FALSE,,Other
28007,Ceiling Board,Interior,125,150,$227.4,$22.7,"$2,842",MegaBuild Ltd,19/12/2024,24/1/2025,Warehouse C,TRUE,25,Other
28206,Cement Bag,Building Materials,33,40,$102.3,$10.2,$338,MegaBuild Ltd,19/12/2024,4/1/2025,Warehouse A,TRUE,7,Other
42940,Cement Bag,Building Materials,492,50,$268.1,$26.8,"$13,190",Konga Wholesale,18/12/2024,7/1/2025,Warehouse C,FALSE,,OverStock
31630,Floor Tiles,Interior,199,80,$312.9,$31.3,"$6,226",Alpha Materials,18/12/2024,28/12/2024,Warehouse C,FALSE,,Other
15409,Bulb Pack,Electrical,228,150,$107.3,$10.7,"$2,446",Konga Wholesale,18/12/2024,3/1/2025,Warehouse C,FALSE,,Other
95283,Paint Bucket,Interior,403,30,$397.4,$39.7,"$16,014",Alpha Materials,18/12/2024,15/1/2025,Warehouse C,FALSE,,OverStock
39669,Cement Bag,Building Materials,378,100,$451.2,$45.1,"$17,056",Jumia Supplies,18/12/2024,4/1/2025,Warehouse C,FALSE,,OverStock
35727,Ceiling Board,Interior,278,50,$81.5,$8.2,"$2,266",Jumia Supplies,18/12/2024,6/1/2025,Warehouse B,FALSE,,OverStock
31873,Cement Bag,Building Materials,225,50,$169.6,$17.0,"$3,817",Alpha Materials,18/12/2024,30/12/2024,Warehouse A,FALSE,,OverStock
12026,Bulb Pack,Electrical,53,80,$466.0,$46.6,"$2,470",FixRight Depot,18/12/2024,23/1/2025,Warehouse B,TRUE,27,Other
97939,Water Heater,Plumbing,379,80,$104.9,$10.5,"$3,974",Alpha Materials,17/12/2024,22/1/2025,Warehouse C,FALSE,,OverStock
58320,PVC Pipe,Plumbing,128,150,$337.9,$33.8,"$4,326",MegaBuild Ltd,17/12/2024,26/12/2024,Warehouse C,TRUE,22,Other
25581,Bulb Pack,Electrical,46,80,$152.6,$15.3,$702,FixRight Depot,17/12/2024,22/1/2025,Warehouse A,TRUE,34,Other
37215,Shower Set,Hardware,435,30,$203.8,$20.4,"$8,867",MegaBuild Ltd,17/12/2024,26/12/2024,Warehouse B,FALSE,,OverStock
66878,PVC Pipe,Plumbing,246,100,$336.9,$33.7,"$8,287",MegaBuild Ltd,17/12/2024,31/12/2024,Warehouse C,FALSE,,Other
62433,Concrete Block,Building Materials,334,20,$16.4,$1.6,$549,MegaBuild Ltd,17/12/2024,23/1/2025,Warehouse B,FALSE,,OverStock
36296,Window Glass,Hardware,126,80,$247.7,$24.8,"$3,121",Jumia Supplies,17/12/2024,11/1/2025,Warehouse C,FALSE,,Other
45162,Bulb Pack,Electrical,388,30,$477.2,$47.7,"$18,517",Alpha Materials,17/12/2024,21/1/2025,Warehouse A,FALSE,,OverStock
81428,Paint Bucket,Interior,410,50,$167.3,$16.7,"$6,861",Alpha Materials,17/12/2024,25/12/2024,Warehouse B,FALSE,,OverStock
51057,Wallpaper Roll,Interior,191,80,$366.4,$36.6,"$6,998",MegaBuild Ltd,17/12/2024,8/1/2025,Warehouse C,FALSE,,Other
36401,Kitchen Sink,Plumbing,215,80,$133.0,$13.3,"$2,859",Jumia Supplies,17/12/2024,21/1/2025,Warehouse C,FALSE,,Other
83586,Toilet Seat,Hardware,466,150,$97.5,$9.7,"$4,543",FixRight Depot,17/12/2024,10/1/2025,Warehouse B,FALSE,,OverStock
65020,Concrete Block,Building Materials,33,30,$369.3,$36.9,"$1,219",Jumia Supplies,17/12/2024,2/1/2025,Warehouse B,FALSE,,Other
41247,Cement Bag,Building Materials,274,20,$407.3,$40.7,"$11,160",FixRight Depot,17/12/2024,9/1/2025,Warehouse A,FALSE,,OverStock
31016,Shower Set,Hardware,433,20,$115.7,$11.6,"$5,012",Jumia Supplies,17/12/2024,17/1/2025,Warehouse A,FALSE,,OverStock
30239,Concrete Block,Building Materials,345,30,$93.2,$9.3,"$3,216",MegaBuild Ltd,16/12/2024,16/1/2025,Warehouse B,FALSE,,OverStock
30325,Shower Set,Hardware,84,100,$359.2,$35.9,"$3,018",FixRight Depot,16/12/2024,8/1/2025,Warehouse B,TRUE,16,Other
84215,Floor Tiles,Interior,318,20,$456.3,$45.6,"$14,511",Konga Wholesale,16/12/2024,23/12/2024,Warehouse A,FALSE,,OverStock
47595,Water Heater,Plumbing,364,50,$114.1,$11.4,"$4,152",Jumia Supplies,16/12/2024,8/1/2025,Warehouse A,FALSE,,OverStock
53322,Door Frame,Hardware,344,100,$172.3,$17.2,"$5,928",Jumia Supplies,16/12/2024,6/1/2025,Warehouse C,FALSE,,OverStock
88928,Electrical Cable,Electrical,1,80,$37.9,$3.8,$4,Jumia Supplies,15/12/2024,21/12/2024,Warehouse B,TRUE,79,Other
20273,Concrete Block,Building Materials,142,50,$195.5,$19.6,"$2,776",FixRight Depot,15/12/2024,7/1/2025,Warehouse A,FALSE,,Other
25993,Concrete Block,Building Materials,343,30,$17.8,$1.8,$612,FixRight Depot,15/12/2024,2/1/2025,Warehouse C,FALSE,,OverStock
69179,Paint Bucket,Interior,94,40,$422.6,$42.3,"$3,973",Konga Wholesale,15/12/2024,8/1/2025,Warehouse A,FALSE,,Other
66648,PVC Pipe,Plumbing,48,50,$339.9,$34.0,"$1,632",Jumia Supplies,15/12/2024,4/1/2025,Warehouse C,TRUE,2,Other
59811,Cement Bag,Building Materials,123,40,$97.3,$9.7,"$1,197",FixRight Depot,14/12/2024,21/12/2024,Warehouse C,FALSE,,OverStock
95067,Cement Bag,Building Materials,486,150,$220.7,$22.1,"$10,724",MegaBuild Ltd,14/12/2024,21/12/2024,Warehouse C,FALSE,,OverStock
77042,Electrical Cable,Electrical,132,150,$346.6,$34.7,"$4,575",Alpha Materials,14/12/2024,2/1/2025,Warehouse C,TRUE,18,Other
45249,Roofing Sheet,Building Materials,243,100,$145.5,$14.6,"$3,537",Konga Wholesale,14/12/2024,12/1/2025,Warehouse B,FALSE,,Other
14138,Electrical Cable,Electrical,410,30,$498.2,$49.8,"$20,424",Jumia Supplies,13/12/2024,3/1/2025,Warehouse A,FALSE,,OverStock
51542,Door Frame,Hardware,387,30,$327.2,$32.7,"$12,661",Konga Wholesale,13/12/2024,3/1/2025,Warehouse A,FALSE,,OverStock
25957,Switch Box,Electrical,235,50,$210.8,$21.1,"$4,953",Jumia Supplies,13/12/2024,27/12/2024,Warehouse A,FALSE,,OverStock
72303,Wallpaper Roll,Interior,26,100,$429.9,$43.0,"$1,118",MegaBuild Ltd,13/12/2024,17/1/2025,Warehouse C,TRUE,74,Other
56303,Bulb Pack,Electrical,398,40,$499.8,$50.0,"$19,894",Jumia Supplies,13/12/2024,14/1/2025,Warehouse A,FALSE,,OverStock
43292,Water Heater,Plumbing,368,30,$441.7,$44.2,"$16,255",Jumia Supplies,13/12/2024,14/1/2025,Warehouse B,FALSE,,OverStock
74713,Kitchen Sink,Plumbing,152,20,$109.6,$11.0,"$1,665",Jumia Supplies,13/12/2024,28/12/2024,Warehouse A,FALSE,,OverStock
18338,Electrical Cable,Electrical,367,40,$249.8,$25.0,"$9,167",Alpha Materials,13/12/2024,8/1/2025,Warehouse B,FALSE,,OverStock
69763,Wallpaper Roll,Interior,440,20,$191.7,$19.2,"$8,433",MegaBuild Ltd,13/12/2024,12/1/2025,Warehouse C,FALSE,,OverStock
52287,Water Heater,Plumbing,315,30,$68.5,$6.9,"$2,158",Alpha Materials,12/12/2024,30/12/2024,Warehouse A,FALSE,,OverStock
37912,Cement Bag,Building Materials,68,100,$332.0,$33.2,"$2,257",FixRight Depot,12/12/2024,24/12/2024,Warehouse A,TRUE,32,Other
22279,Toilet Seat,Hardware,421,150,$266.1,$26.6,"$11,201",FixRight Depot,12/12/2024,14/1/2025,Warehouse C,FALSE,,Other
87219,Paint Bucket,Interior,269,30,$130.2,$13.0,"$3,503",MegaBuild Ltd,12/12/2024,10/1/2025,Warehouse A,FALSE,,OverStock
65427,Concrete Block,Building Materials,42,80,$27.7,$2.8,$116,MegaBuild Ltd,12/12/2024,17/1/2025,Warehouse C,TRUE,38,Other
25620,PVC Pipe,Plumbing,493,30,$342.8,$34.3,"$16,902",Konga Wholesale,11/12/2024,10/1/2025,Warehouse A,FALSE,,OverStock
63517,Concrete Block,Building Materials,185,20,$471.9,$47.2,"$8,731",Alpha Materials,11/12/2024,31/12/2024,Warehouse C,FALSE,,OverStock
93391,Concrete Block,Building Materials,164,80,$206.1,$20.6,"$3,380",Jumia Supplies,11/12/2024,1/1/2025,Warehouse C,FALSE,,Other
52548,Switch Box,Electrical,217,150,$412.0,$41.2,"$8,940",MegaBuild Ltd,11/12/2024,12/1/2025,Warehouse A,FALSE,,Other
41676,Roofing Sheet,Building Materials,50,80,$373.2,$37.3,"$1,866",Jumia Supplies,11/12/2024,27/12/2024,Warehouse A,TRUE,30,Other
82264,Concrete Block,Building Materials,339,30,$256.3,$25.6,"$8,689",Alpha Materials,11/12/2024,6/1/2025,Warehouse A,FALSE,,OverStock
71407,Wallpaper Roll,Interior,265,50,$38.5,$3.9,"$1,021",Konga Wholesale,11/12/2024,30/12/2024,Warehouse C,FALSE,,OverStock
71088,Door Frame,Hardware,467,40,$133.0,$13.3,"$6,210",Jumia Supplies,11/12/2024,19/12/2024,Warehouse B,FALSE,,OverStock
28764,Kitchen Sink,Plumbing,9,20,$106.5,$10.7,$96,Jumia Supplies,11/12/2024,10/1/2025,Warehouse C,TRUE,11,Other
44902,Window Glass,Hardware,205,80,$331.3,$33.1,"$6,792",FixRight Depot,11/12/2024,8/1/2025,Warehouse B,FALSE,,Other
33387,Wallpaper Roll,Interior,202,100,$377.8,$37.8,"$7,632",Alpha Materials,10/12/2024,5/1/2025,Warehouse A,FALSE,,Other
39055,PVC Pipe,Plumbing,471,20,$234.7,$23.5,"$11,052",FixRight Depot,10/12/2024,4/1/2025,Warehouse A,FALSE,,OverStock
13952,Cement Bag,Building Materials,355,80,$300.3,$30.0,"$10,662",Jumia Supplies,10/12/2024,3/1/2025,Warehouse B,FALSE,,OverStock
31803,Concrete Block,Building Materials,314,100,$383.6,$38.4,"$12,045",Jumia Supplies,10/12/2024,13/1/2025,Warehouse C,FALSE,,OverStock
24075,Window Glass,Hardware,256,150,$239.0,$23.9,"$6,119",FixRight Depot,10/12/2024,16/1/2025,Warehouse B,FALSE,,Other
71549,Roofing Sheet,Building Materials,286,150,$286.4,$28.6,"$8,192",MegaBuild Ltd,10/12/2024,15/12/2024,Warehouse C,FALSE,,Other
68005,Roofing Sheet,Building Materials,373,80,$487.7,$48.8,"$18,192",Alpha Materials,10/12/2024,15/12/2024,Warehouse B,FALSE,,OverStock
90468,Wallpaper Roll,Interior,316,20,$161.3,$16.1,"$5,098",MegaBuild Ltd,10/12/2024,19/12/2024,Warehouse A,FALSE,,OverStock
39759,Roofing Sheet,Building Materials,213,100,$166.3,$16.6,"$3,543",Alpha Materials,9/12/2024,21/12/2024,Warehouse A,FALSE,,Other
97318,Roofing Sheet,Building Materials,267,30,$188.6,$18.9,"$5,036",Jumia Supplies,9/12/2024,24/12/2024,Warehouse A,FALSE,,OverStock
28976,Ceiling Board,Interior,88,80,$6.9,$0.7,$61,MegaBuild Ltd,9/12/2024,15/12/2024,Warehouse C,FALSE,,Other
70289,Ceiling Board,Interior,367,20,$412.7,$41.3,"$15,146",FixRight Depot,9/12/2024,3/1/2025,Warehouse A,FALSE,,OverStock
35099,Door Frame,Hardware,68,80,$219.5,$22.0,"$1,493",FixRight Depot,9/12/2024,1/1/2025,Warehouse A,TRUE,12,Other
61341,Kitchen Sink,Plumbing,249,30,$359.8,$36.0,"$8,958",Konga Wholesale,9/12/2024,23/12/2024,Warehouse B,FALSE,,OverStock
12332,Shower Set,Hardware,105,30,$406.1,$40.6,"$4,264",Alpha Materials,9/12/2024,17/1/2025,Warehouse C,FALSE,,OverStock
25739,Window Glass,Hardware,195,150,$35.1,$3.5,$685,Jumia Supplies,9/12/2024,12/1/2025,Warehouse A,FALSE,,Other
68161,Water Heater,Plumbing,95,100,$355.0,$35.5,"$3,372",Jumia Supplies,8/12/2024,5/1/2025,Warehouse B,TRUE,5,Other
45517,Switch Box,Electrical,419,150,$210.9,$21.1,"$8,836",Alpha Materials,8/12/2024,11/1/2025,Warehouse A,FALSE,,Other
43418,Shower Set,Hardware,152,50,$286.9,$28.7,"$4,361",MegaBuild Ltd,8/12/2024,5/1/2025,Warehouse C,FALSE,,OverStock
88824,Kitchen Sink,Plumbing,74,80,$317.7,$31.8,"$2,351",MegaBuild Ltd,8/12/2024,6/1/2025,Warehouse B,TRUE,6,Other
83290,Floor Tiles,Interior,88,150,$242.6,$24.3,"$2,135",Konga Wholesale,8/12/2024,13/1/2025,Warehouse A,TRUE,62,Other
78682,Switch Box,Electrical,48,20,$108.6,$10.9,$521,MegaBuild Ltd,8/12/2024,15/1/2025,Warehouse A,FALSE,,Other
46572,Door Frame,Hardware,246,100,$215.7,$21.6,"$5,305",Jumia Supplies,8/12/2024,16/12/2024,Warehouse B,FALSE,,Other
52269,Concrete Block,Building Materials,13,100,$391.4,$39.1,$509,MegaBuild Ltd,8/12/2024,11/1/2025,Warehouse B,TRUE,87,Other
62342,Door Frame,Hardware,66,40,$462.3,$46.2,"$3,051",FixRight Depot,8/12/2024,14/1/2025,Warehouse A,FALSE,,Other
41795,Switch Box,Electrical,81,100,$101.3,$10.1,$821,MegaBuild Ltd,8/12/2024,14/1/2025,Warehouse B,TRUE,19,Other
13796,Wallpaper Roll,Interior,51,100,$490.4,$49.0,"$2,501",Jumia Supplies,8/12/2024,17/12/2024,Warehouse A,TRUE,49,Other
22735,Electrical Cable,Electrical,119,30,$242.4,$24.2,"$2,884",FixRight Depot,8/12/2024,30/12/2024,Warehouse C,FALSE,,OverStock
32623,Wallpaper Roll,Interior,416,40,$381.9,$38.2,"$15,888",Konga Wholesale,8/12/2024,8/1/2025,Warehouse B,FALSE,,OverStock
60098,Door Frame,Hardware,304,80,$273.1,$27.3,"$8,303",Konga Wholesale,7/12/2024,3/1/2025,Warehouse B,FALSE,,OverStock
87787,Door Frame,Hardware,211,40,$442.0,$44.2,"$9,325",FixRight Depot,7/12/2024,15/12/2024,Warehouse B,FALSE,,OverStock
27718,Paint Bucket,Interior,419,40,$350.1,$35.0,"$14,669",Alpha Materials,7/12/2024,23/12/2024,Warehouse C,FALSE,,OverStock
93591,Concrete Block,Building Materials,479,30,$78.0,$7.8,"$3,736",Konga Wholesale,7/12/2024,24/12/2024,Warehouse A,FALSE,,OverStock
76299,Electrical Cable,Electrical,184,40,$499.8,$50.0,"$9,195",MegaBuild Ltd,7/12/2024,31/12/2024,Warehouse C,FALSE,,OverStock
69453,Electrical Cable,Electrical,358,100,$462.7,$46.3,"$16,564",Jumia Supplies,7/12/2024,14/1/2025,Warehouse A,FALSE,,OverStock
82043,Bulb Pack,Electrical,467,20,$181.4,$18.1,"$8,473",Konga Wholesale,7/12/2024,6/1/2025,Warehouse C,FALSE,,OverStock
64345,Water Heater,Plumbing,433,80,$368.5,$36.8,"$15,955",MegaBuild Ltd,7/12/2024,2/1/2025,Warehouse C,FALSE,,OverStock
60486,Switch Box,Electrical,16,20,$251.2,$25.1,$402,Jumia Supplies,7/12/2024,15/1/2025,Warehouse A,TRUE,4,Other
21651,Concrete Block,Building Materials,152,40,$489.4,$48.9,"$7,439",Alpha Materials,7/12/2024,13/12/2024,Warehouse A,FALSE,,OverStock
72063,Switch Box,Electrical,95,150,$167.9,$16.8,"$1,595",Konga Wholesale,7/12/2024,24/12/2024,Warehouse B,TRUE,55,Other
69807,Paint Bucket,Interior,375,20,$105.8,$10.6,"$3,969",Jumia Supplies,7/12/2024,11/1/2025,Warehouse B,FALSE,,OverStock
70686,Kitchen Sink,Plumbing,53,30,$50.9,$5.1,$270,FixRight Depot,6/12/2024,4/1/2025,Warehouse A,FALSE,,Other
85319,Cement Bag,Building Materials,415,30,$340.3,$34.0,"$14,123",MegaBuild Ltd,6/12/2024,2/1/2025,Warehouse B,FALSE,,OverStock
